Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,399.85,322.5,0,bottom
C2,1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,387.84375,329.44375,90,bottom
C3,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,384.46875,308.15625,180,bottom
C4,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,393.74375,305.71875,0,bottom
C5,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,371.4375,327.6625,90,bottom
C6,22pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,417.91113,294.08561,0,bottom
C7,22pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,417.91113,305.99191,0,bottom
C8,1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,383.9,312.46875,0,bottom
D1,1N4148W,D_SOD-123,409.575,342.9,180,bottom
D2,1N4148W,D_SOD-123,390.525,342.9,180,bottom
D3,1N4148W,D_SOD-123,375.046875,340.51875,90,bottom
D4,1N4148W,D_SOD-123,355.996875,340.51875,90,bottom
D5,1N4148W,D_SOD-123,336.946875,340.51875,90,bottom
D6,1N4148W,D_SOD-123,317.896875,340.51875,90,bottom
D7,1N4148W,D_SOD-123,298.846875,340.51875,90,bottom
D8,1N4148W,D_SOD-123,279.796875,340.51875,90,bottom
D9,1N4148W,D_SOD-123,260.746875,340.51875,90,bottom
D10,1N4148W,D_SOD-123,241.696875,340.51875,90,bottom
D11,1N4148W,D_SOD-123,222.646875,340.51875,90,bottom
D12,1N4148W,D_SOD-123,203.596875,340.51875,90,bottom
D13,1N4148W,D_SOD-123,184.546875,340.51875,90,bottom
D14,1N4148W,D_SOD-123,155.971875,340.51875,90,bottom
D15,1N4148W,D_SOD-123,127.396875,340.51875,90,bottom
D16,1N4148W,D_SOD-123,404.8125,323.85,180,bottom
D17,1N4148W,D_SOD-123,381,323.85,180,bottom
D18,1N4148W,D_SOD-123,361.95,323.85,180,bottom
D19,1N4148W,D_SOD-123,346.471875,321.46875,90,bottom
D20,1N4148W,D_SOD-123,327.421875,321.46875,90,bottom
D21,1N4148W,D_SOD-123,308.371875,321.46875,90,bottom
D22,1N4148W,D_SOD-123,289.321875,321.46875,90,bottom
D23,1N4148W,D_SOD-123,270.271875,321.46875,90,bottom
D24,1N4148W,D_SOD-123,251.221875,321.46875,90,bottom
D25,1N4148W,D_SOD-123,232.171875,321.46875,90,bottom
D26,1N4148W,D_SOD-123,213.121875,321.46875,90,bottom
D27,1N4148W,D_SOD-123,194.071875,321.46875,90,bottom
D28,1N4148W,D_SOD-123,175.021875,321.46875,90,bottom
D29,1N4148W,D_SOD-123,151.209375,321.46875,90,bottom
D30,1N4148W,D_SOD-123,127.396875,321.46875,90,bottom
D31,1N4148W,D_SOD-123,406.003125,302.41875,90,bottom
D32,1N4148W,D_SOD-123,379.809375,302.41875,90,bottom
D33,1N4148W,D_SOD-123,360.759375,302.41875,90,bottom
D34,1N4148W,D_SOD-123,341.709375,302.41875,90,bottom
D35,1N4148W,D_SOD-123,322.659375,302.41875,90,bottom
D36,1N4148W,D_SOD-123,303.609375,302.41875,90,bottom
D37,1N4148W,D_SOD-123,284.559375,302.41875,90,bottom
D38,1N4148W,D_SOD-123,265.509375,302.41875,90,bottom
D39,1N4148W,D_SOD-123,246.459375,302.41875,90,bottom
D40,1N4148W,D_SOD-123,227.409375,302.41875,90,bottom
D41,1N4148W,D_SOD-123,208.359375,302.41875,90,bottom
D42,1N4148W,D_SOD-123,189.309375,302.41875,90,bottom
D43,1N4148W,D_SOD-123,158.353125,302.41875,90,bottom
D44,1N4148W,D_SOD-123,127.396875,302.41875,90,bottom
D45,1N4148W,D_SOD-123,401.240625,283.36875,90,bottom
D46,1N4148W,D_SOD-123,370.284375,283.36875,90,bottom
D47,1N4148W,D_SOD-123,351.234375,283.36875,90,bottom
D48,1N4148W,D_SOD-123,332.184375,283.36875,90,bottom
D49,1N4148W,D_SOD-123,313.134375,283.36875,90,bottom
D50,1N4148W,D_SOD-123,294.084375,283.36875,90,bottom
D51,1N4148W,D_SOD-123,275.034375,283.36875,90,bottom
D52,1N4148W,D_SOD-123,255.984375,283.36875,90,bottom
D53,1N4148W,D_SOD-123,233.3625,283.36875,90,bottom
D54,1N4148W,D_SOD-123,217.884375,283.36875,90,bottom
D55,1N4148W,D_SOD-123,198.834375,283.36875,90,bottom
D56,1N4148W,D_SOD-123,172.640625,283.36875,90,bottom
D57,1N4148W,D_SOD-123,146.446875,283.36875,90,bottom
D58,1N4148W,D_SOD-123,127.396875,283.36875,90,bottom
D59,1N4148W,D_SOD-123,410.765625,264.31875,90,bottom
D60,1N4148W,D_SOD-123,386.953125,264.31875,90,bottom
D61,1N4148W,D_SOD-123,363.140625,264.31875,90,bottom
D62,1N4148W,D_SOD-123,291.703125,264.31875,90,bottom
D63,1N4148W,D_SOD-123,222.646875,264.31875,90,bottom
D64,1N4148W,D_SOD-123,203.596875,264.31875,90,bottom
D65,1N4148W,D_SOD-123,184.546875,264.31875,90,bottom
D66,1N4148W,D_SOD-123,165.496875,264.31875,90,bottom
D67,1N4148W,D_SOD-123,146.446875,264.31875,90,bottom
D68,1N4148W,D_SOD-123,127.396875,264.31875,90,bottom
R1,10k,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,373.59375,327.10625,270,bottom
R2,330,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,369.28125,327.10625,90,bottom
R3,22,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,402.43125,340.51875,90,bottom
R4,22,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,397.66875,340.51875,90,bottom
R5,1k,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,375.66875,320.8125,0,bottom
SWP1,SW_Push,SKQG-1155865,372,332.4375,0,bottom
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,390.525,319.0875,135,bottom
Y1,16MHz,Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering,417.91113,300.03876,90,bottom
